config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
all5,u+CaHK+g+r+i,4000.0,-3.0,RGB,0,0.5285,1.8734,0.8201,0.0487,-13.47
all5,u+CaHK+g+r+i,4000.0,-3.0,RGB,1,0.646,1.8281,0.7915,-0.0337,-13.52
all5,u+CaHK+g+r+i,4000.0,-3.0,RGB,2,0.389,2.064,0.7829,0.0472,-14.24
all5,u+CaHK+g+r+i,4000.0,-3.0,MS,0,0.4265,1.8946,0.6598,-0.1559,-13.82
all5,u+CaHK+g+r+i,4000.0,-3.0,MS,1,0.5065,1.6364,0.5695,-0.6668,-13.7
all5,u+CaHK+g+r+i,4000.0,-3.0,MS,2,0.7745,0.9712,0.5006,-1.1487,-14.84
all5,u+CaHK+g+r+i,4000.0,-2.0,RGB,0,0.2765,1.2408,0.3666,0.4433,-14.2
all5,u+CaHK+g+r+i,4000.0,-2.0,RGB,1,0.638,1.4064,0.4775,0.213,-15.35
all5,u+CaHK+g+r+i,4000.0,-2.0,RGB,2,0.357,1.1536,0.3284,0.5171,-15.52
all5,u+CaHK+g+r+i,4000.0,-2.0,MS,0,0.512,1.7566,0.5553,-0.1076,-14.01
all5,u+CaHK+g+r+i,4000.0,-2.0,MS,1,0.5295,2.1429,0.7625,-1.2497,-14.07
all5,u+CaHK+g+r+i,4000.0,-2.0,MS,2,0.5735,1.5826,0.629,-0.2147,-13.99
all5,u+CaHK+g+r+i,4000.0,-1.0,RGB,0,0.669,1.2418,0.3913,0.269,-14.96
all5,u+CaHK+g+r+i,4000.0,-1.0,RGB,1,0.2485,1.2976,0.4328,-0.2767,-14.24
all5,u+CaHK+g+r+i,4000.0,-1.0,RGB,2,0.4245,1.1778,0.3921,0.3833,-15.24
all5,u+CaHK+g+r+i,4000.0,-1.0,MS,0,0.586,1.3318,0.5877,-0.591,-16.75
all5,u+CaHK+g+r+i,4000.0,-1.0,MS,1,0.606,1.394,0.7216,-0.7636,-15.35
all5,u+CaHK+g+r+i,4000.0,-1.0,MS,2,0.625,1.4332,0.6943,-0.816,-14.44
all5,u+CaHK+g+r+i,4500.0,-3.0,RGB,0,0.244,1.8443,0.5885,-0.2471,-14.46
all5,u+CaHK+g+r+i,4500.0,-3.0,RGB,1,0.476,1.2753,0.3408,-0.0413,-14.59
all5,u+CaHK+g+r+i,4500.0,-3.0,RGB,2,0.4565,1.9235,0.2923,0.3779,-13.82
all5,u+CaHK+g+r+i,4500.0,-3.0,MS,0,0.1215,1.4796,0.5518,-1.2458,-14.53
all5,u+CaHK+g+r+i,4500.0,-3.0,MS,1,0.3155,1.7945,0.4211,-0.0972,-13.77
all5,u+CaHK+g+r+i,4500.0,-3.0,MS,2,0.496,1.4067,0.514,-0.7537,-13.2
all5,u+CaHK+g+r+i,4500.0,-2.0,RGB,0,0.2895,1.8743,0.2385,-0.4075,-14.11
all5,u+CaHK+g+r+i,4500.0,-2.0,RGB,1,0.0155,0.8501,0.2805,-0.0858,-18.28
all5,u+CaHK+g+r+i,4500.0,-2.0,RGB,2,0.3185,1.7303,0.3061,-0.1765,-13.88
all5,u+CaHK+g+r+i,4500.0,-2.0,MS,0,0.8455,0.8859,0.2791,0.1743,-18.83
all5,u+CaHK+g+r+i,4500.0,-2.0,MS,1,0.3165,1.6509,0.2881,-0.45,-14.41
all5,u+CaHK+g+r+i,4500.0,-2.0,MS,2,0.433,1.5806,0.2986,-0.4529,-13.48
all5,u+CaHK+g+r+i,4500.0,-1.0,RGB,0,0.624,1.0157,0.2283,0.4644,-15.69
all5,u+CaHK+g+r+i,4500.0,-1.0,RGB,1,0.467,1.322,0.2448,0.11,-14.95
all5,u+CaHK+g+r+i,4500.0,-1.0,RGB,2,0.002,0.7049,0.3357,-0.5043,-18.04
all5,u+CaHK+g+r+i,4500.0,-1.0,MS,0,0.6905,1.0226,0.2416,0.4717,-14.78
all5,u+CaHK+g+r+i,4500.0,-1.0,MS,1,0.645,0.9667,0.2506,0.2489,-14.93
all5,u+CaHK+g+r+i,4500.0,-1.0,MS,2,0.54,1.1681,0.2654,0.309,-15.36
all5,u+CaHK+g+r+i,5000.0,-3.0,RGB,0,0.604,1.4899,0.64,-0.1836,-15.59
all5,u+CaHK+g+r+i,5000.0,-3.0,RGB,1,0.4615,1.4447,0.6064,0.1893,-13.0
all5,u+CaHK+g+r+i,5000.0,-3.0,RGB,2,0.343,1.5434,0.6005,0.2789,-14.18
all5,u+CaHK+g+r+i,5000.0,-3.0,MS,0,0.4525,1.6346,0.5616,-0.4506,-13.46
all5,u+CaHK+g+r+i,5000.0,-3.0,MS,1,0.49,1.5081,0.5459,0.3793,-13.37
all5,u+CaHK+g+r+i,5000.0,-3.0,MS,2,0.2325,1.4797,0.6165,-0.1358,-13.74
all5,u+CaHK+g+r+i,5000.0,-2.0,RGB,0,0.523,1.6114,0.346,-0.2331,-14.05
all5,u+CaHK+g+r+i,5000.0,-2.0,RGB,1,0.576,1.463,0.348,-0.2856,-13.83
all5,u+CaHK+g+r+i,5000.0,-2.0,RGB,2,0.4515,1.4279,0.2821,0.0303,-13.11
all5,u+CaHK+g+r+i,5000.0,-2.0,MS,0,0.681,1.2451,0.2992,0.4086,-17.62
all5,u+CaHK+g+r+i,5000.0,-2.0,MS,1,0.423,1.6564,0.2747,0.166,-13.74
all5,u+CaHK+g+r+i,5000.0,-2.0,MS,2,0.625,1.5243,0.2766,0.1259,-16.5
all5,u+CaHK+g+r+i,5000.0,-1.0,RGB,0,0.173,0.995,0.3265,0.3659,-15.33
all5,u+CaHK+g+r+i,5000.0,-1.0,RGB,1,0.0645,1.1745,0.3222,-0.0939,-14.19
all5,u+CaHK+g+r+i,5000.0,-1.0,RGB,2,0.0065,0.9308,0.3043,-0.3582,-15.72
all5,u+CaHK+g+r+i,5000.0,-1.0,MS,0,0.5095,1.0273,0.2837,0.5906,-16.49
all5,u+CaHK+g+r+i,5000.0,-1.0,MS,1,0.7435,0.8922,0.3297,0.1175,-13.99
all5,u+CaHK+g+r+i,5000.0,-1.0,MS,2,0.0955,1.3438,0.3648,-0.4653,-15.21
all5,u+CaHK+g+r+i,5500.0,-3.0,RGB,0,0.2895,1.5306,0.7247,-0.8487,-12.45
all5,u+CaHK+g+r+i,5500.0,-3.0,RGB,1,0.233,1.6546,0.837,0.7755,-14.52
all5,u+CaHK+g+r+i,5500.0,-3.0,RGB,2,0.4075,1.8769,0.8808,-0.5104,-11.81
all5,u+CaHK+g+r+i,5500.0,-3.0,MS,0,0.352,1.9894,0.6893,0.2441,-12.37
all5,u+CaHK+g+r+i,5500.0,-3.0,MS,1,0.193,1.7502,0.7014,-0.0094,-11.43
all5,u+CaHK+g+r+i,5500.0,-3.0,MS,2,0.6175,1.4893,0.7311,-0.7235,-12.98
all5,u+CaHK+g+r+i,5500.0,-2.0,RGB,0,0.134,1.6848,0.6568,-0.4652,-12.72
all5,u+CaHK+g+r+i,5500.0,-2.0,RGB,1,0.3575,2.05,0.7556,-0.4959,-13.21
all5,u+CaHK+g+r+i,5500.0,-2.0,RGB,2,0.424,2.0423,0.7256,-1.0209,-12.51
all5,u+CaHK+g+r+i,5500.0,-2.0,MS,0,0.495,1.363,0.3535,0.1891,-13.59
all5,u+CaHK+g+r+i,5500.0,-2.0,MS,1,0.4895,1.7035,0.4132,0.1294,-13.4
all5,u+CaHK+g+r+i,5500.0,-2.0,MS,2,0.578,1.7696,0.65,-0.6873,-13.97
all5,u+CaHK+g+r+i,5500.0,-1.0,RGB,0,0.2455,1.3263,0.2591,-0.2984,-16.79
all5,u+CaHK+g+r+i,5500.0,-1.0,RGB,1,0.576,1.334,0.3041,-0.0334,-13.42
all5,u+CaHK+g+r+i,5500.0,-1.0,RGB,2,0.4495,1.3659,0.3172,-0.1926,-13.49
all5,u+CaHK+g+r+i,5500.0,-1.0,MS,0,0.209,1.1157,0.2296,-0.0865,-15.66
all5,u+CaHK+g+r+i,5500.0,-1.0,MS,1,0.385,1.3667,0.3323,0.2428,-13.91
all5,u+CaHK+g+r+i,5500.0,-1.0,MS,2,0.812,1.0871,0.357,-0.1513,-14.11
